±â°£,Ç°¸ñ¸í,Ç°¸ñÄÚµå,¼öÃâÁß·®,¼öÀÔÁß·®,¼öÃâ±Ý¾×,¼öÀÔ±Ý¾×,¹«¿ª¼öÁö
2014.09,Çï·ý,2804291000,                  39.1,                 133.4,"               1,847","               5,733","              -3,886"
2014.10,Çï·ý,2804291000,                  22.3,                 140.4,"               1,200","               6,212","              -5,012"
2014.11,Çï·ý,2804291000,                  12.1,                 123.6,                 690,"               5,829","              -5,139"
2014.12,Çï·ý,2804291000,                  11.3,                 191.2,                 629,"               9,109","              -8,480"
2015.01,Çï·ý,2804291000,                  31.0,                 135.2,"               1,757","               6,768","              -5,011"
2015.02,Çï·ý,2804291000,                  12.4,                 132.2,                 667,"               6,818","              -6,151"
2015.03,Çï·ý,2804291000,                  14.6,                 124.3,                 851,"               6,349","              -5,498"
2015.04,Çï·ý,2804291000,                  15.0,                 182.9,                 845,"               9,772","              -8,927"
2015.05,Çï·ý,2804291000,                  14.4,                 126.5,                 778,"               6,529","              -5,751"
2015.06,Çï·ý,2804291000,                  23.9,                 136.9,"               1,405","               7,135","              -5,730"
2015.07,Çï·ý,2804291000,                  21.8,                 132.0,"               1,235","               6,762","              -5,527"
2015.08,Çï·ý,2804291000,                  21.2,                 150.8,"               1,197","               7,768","              -6,571"
2015.09,Çï·ý,2804291000,                  24.2,                 146.1,"               1,413","               7,501","              -6,088"
2015.10,Çï·ý,2804291000,                  30.6,                 150.8,"               1,802","               7,768","              -5,966"
2015.11,Çï·ý,2804291000,                  26.2,                 150.7,"               1,437","               7,721","              -6,284"
2015.12,Çï·ý,2804291000,                  32.5,                 159.1,"               1,775","               7,798","              -6,023"
2016.01,Çï·ý,2804291000,                  34.4,                 131.1,"               1,786","               6,313","              -4,527"
2016.02,Çï·ý,2804291000,                  15.0,                 149.9,                 755,"               7,182","              -6,427"
2016.03,Çï·ý,2804291000,                  16.7,                 145.5,                 876,"               6,940","              -6,064"
2016.04,Çï·ý,2804291000,                  35.8,                 165.2,"               1,869","               7,895","              -6,026"
2016.05,Çï·ý,2804291000,                  18.5,                 167.7,                 999,"               7,984","              -6,985"
2016.06,Çï·ý,2804291000,                  21.1,                 125.9,"               1,112","               6,057","              -4,945"
2016.07,Çï·ý,2804291000,                  18.3,                 160.2,                 922,"               7,613","              -6,691"
2016.08,Çï·ý,2804291000,                  19.6,                 103.4,                 968,"               4,821","              -3,853"
2016.09,Çï·ý,2804291000,                  23.6,                 165.2,"               1,228","               7,888","              -6,660"
2016.10,Çï·ý,2804291000,                  29.9,                 129.9,"               1,055","               6,136","              -5,081"
2016.11,Çï·ý,2804291000,                  15.1,                 131.8,                 805,"               6,206","              -5,401"
2016.12,Çï·ý,2804291000,                   9.6,                 188.3,                 454,"               8,612","              -8,158"
2017.01,Çï·ý,2804291000,                  12.0,                 135.7,                 564,"               6,170","              -5,606"
2017.02,Çï·ý,2804291000,                  16.6,                 142.2,                 849,"               6,571","              -5,722"
2017.03,Çï·ý,2804291000,                  13.7,                 188.9,                 708,"               8,635","              -7,927"
2017.04,Çï·ý,2804291000,                  12.1,                 150.2,                 581,"               6,883","              -6,302"
2017.05,Çï·ý,2804291000,                  11.4,                 165.0,                 532,"               7,593","              -7,061"
2017.06,Çï·ý,2804291000,                   6.3,                 127.2,                 316,"               5,816","              -5,500"
2017.07,Çï·ý,2804291000,                  11.3,                 114.2,                 496,"               5,170","              -4,674"
2017.08,Çï·ý,2804291000,                  19.0,                 167.6,                 904,"               7,689","              -6,785"
2017.09,Çï·ý,2804291000,                  40.9,                 197.0,"               2,038","               9,118","              -7,080"
2017.10,Çï·ý,2804291000,                  17.5,                 192.3,                 850,"               8,955","              -8,105"
2017.11,Çï·ý,2804291000,                  23.8,                 172.8,"               1,119","               7,927","              -6,808"
2017.12,Çï·ý,2804291000,                  23.9,                 167.8,"               1,143","               7,656","              -6,513"
2018.01,Çï·ý,2804291000,                  19.8,                 173.5,                 968,"               8,122","              -7,154"
2018.02,Çï·ý,2804291000,                  21.0,                 165.6,                 969,"               7,847","              -6,878"
2018.03,Çï·ý,2804291000,                  15.3,                 181.8,                 702,"               8,581","              -7,879"
2018.04,Çï·ý,2804291000,                  19.7,                 165.7,                 967,"               7,922","              -6,955"
2018.05,Çï·ý,2804291000,                  16.5,                 192.3,                 846,"               9,281","              -8,435"
2018.06,Çï·ý,2804291000,                   9.4,                 180.4,                 435,"               8,254","              -7,819"
2018.07,Çï·ý,2804291000,                  31.3,                 203.0,"               1,587","               9,673","              -8,086"
2018.08,Çï·ý,2804291000,                  13.9,                 135.5,                 688,"               6,499","              -5,811"
2018.09,Çï·ý,2804291000,                  13.8,                 169.4,                 642,"               8,293","              -7,651"
