기간,품목명,품목코드,수출중량,수입중량,수출금액,수입금액,무역수지
2014.09,기타,2812190000,0,0,0,0,0
2014.1,기타,2812190000,0,0,0,0,0
2014.11,기타,2812190000,0,0,0,0,0
2014.12,기타,2812190000,0,0,0,0,0
2015.01,기타,2812190000,0,0,0,0,0
2015.02,기타,2812190000,0,0,0,0,0
2015.03,기타,2812190000,0,0,0,0,0
2015.04,기타,2812190000,0,0,0,0,0
2015.05,기타,2812190000,0,0,0,0,0
2015.06,기타,2812190000,0,0,0,0,0
2015.07,기타,2812190000,0,0,0,0,0
2015.08,기타,2812190000,0,0,0,0,0
2015.09,기타,2812190000,0,0,0,0,0
2015.1,기타,2812190000,0,0,0,0,0
2015.11,기타,2812190000,0,0,0,0,0
2015.12,기타,2812190000,0,0,0,0,0
2016.01,기타,2812190000,0,0,0,0,0
2016.02,기타,2812190000,0,0,0,0,0
2016.03,기타,2812190000,0,0,0,0,0
2016.04,기타,2812190000,0,0,0,0,0
2016.05,기타,2812190000,0,0,0,0,0
2016.06,기타,2812190000,0,0,0,0,0
2016.07,기타,2812190000,0,0,0,0,0
2016.08,기타,2812190000,0,0,0,0,0
2016.09,기타,2812190000,0,0,0,0,0
2016.1,기타,2812190000,0,0,0,0,0
2016.11,기타,2812190000,0,0,0,0,0
2016.12,기타,2812190000,0,0,0,0,0
2017.01,기타,2812190000,105.3,108.2,"1,871",780,"1,091"
2017.02,기타,2812190000,61.5,89.4,"1,500","1,109",391
2017.03,기타,2812190000,35.5,92,"2,133","1,367",766
2017.04,기타,2812190000,61.6,110.6,"2,178","1,189",989
2017.05,기타,2812190000,61,91.3,"1,707","1,210",497
2017.06,기타,2812190000,39.9,51.4,"1,638","1,027",611
2017.07,기타,2812190000,64,93.7,"1,662","1,274",388
2017.08,기타,2812190000,59,70.6,"1,071","1,333",-262
2017.09,기타,2812190000,107.2,94.9,"1,808","1,609",199
2017.1,기타,2812190000,67.7,73.5,"1,100","1,070",30
2017.11,기타,2812190000,254.9,90.5,"1,498",971,527
2017.12,기타,2812190000,310.6,112.2,"1,660","1,368",292
2018.01,기타,2812190000,139.1,66.4,"2,141",316,"1,825"
2018.02,기타,2812190000,150.5,265.1,"1,481","1,697",-216
2018.03,기타,2812190000,75.8,69.1,"1,727","1,096",631
2018.04,기타,2812190000,69.4,96.1,"1,601","1,940",-339
2018.05,기타,2812190000,78.2,130.3,"1,495","1,447",48
2018.06,기타,2812190000,101.7,71.8,"1,193","1,373",-180
2018.07,기타,2812190000,69.4,94,"1,124","1,375",-251
2018.08,기타,2812190000,47.1,71.8,"1,196","1,013",183
2018.09,기타,2812190000,32.4,150.4,"1,142","1,056",86
