±‚∞£,«∞∏Ò∏Ì,«∞∏Òƒ⁄µÂ,ºˆ√‚¡ﬂ∑Æ,ºˆ¿‘¡ﬂ∑Æ,ºˆ√‚±›æ◊,ºˆ¿‘±›æ◊,π´ø™ºˆ¡ˆ
2014.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,490.0",                 113.8,"              13,964","               3,224","              10,740"
2014.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               2,030.3",                 233.1,"              17,872","               6,281","              11,591"
2014.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,591.9",                 118.2,"              14,389","               4,550","               9,839"
2014.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,825.7",                 115.6,"              15,667","               7,527","               8,140"
2015.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,430.2",                 199.4,"              13,101","               4,396","               8,705"
2015.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,748.5",                  78.7,"              14,946","               2,762","              12,184"
2015.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,706.5",                  67.3,"              14,007","               2,802","              11,205"
2015.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,560.5",                  84.2,"              13,928","              35,666","             -21,738"
2015.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               2,092.3",                  57.1,"              15,820","               3,551","              12,269"
2015.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,259.2",                 117.1,"              10,782","               2,890","               7,892"
2015.07,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,945.9",                  91.8,"              14,584","               2,972","              11,612"
2015.08,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,116.8",                  98.8,"               9,125","               2,871","               6,254"
2015.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,159.4",                  95.7,"              10,558","               2,920","               7,638"
2015.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,712.9",                 168.5,"              14,588","               6,974","               7,614"
2015.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,636.9",                 204.7,"              14,413","               3,588","              10,825"
2015.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,208.0",                  79.6,"              12,690","               3,557","               9,133"
2016.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,307.2",                  65.5,"              11,350","               6,814","               4,536"
2016.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,580.4",                  56.8,"              13,454","               2,441","              11,013"
2016.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,965.7",                 395.9,"              14,937","               5,727","               9,210"
2016.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,174.3",                  81.5,"              10,824","               3,148","               7,676"
2016.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,676.5",                  59.1,"              14,034","               3,491","              10,543"
2016.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,441.4",                  73.0,"              12,339","               3,363","               8,976"
