"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 10- 01","1,409.15","1,411.43","1,433.81","1,374.24","","-0.13%"
"2022- 09- 01","1,411.02","1,349.67","1,414.02","1,342.17","","4.61%"
"2022- 08- 01","1,348.83","1,331.69","1,357.47","1,316.26","","1.31%"
"2022- 07- 01","1,331.37","1,350.01","1,359.63","1,303.69","","-1.35%"
"2022- 06- 01","1,349.57","1,333.81","1,378.74","1,323.35","","1.22%"
"2022- 05- 01","1,333.27","1,333.02","1,358.23","1,323.97","","0.14%"
"2022- 04- 01","1,331.36","1,344.55","1,352.44","1,322.16","","-0.90%"
"2022- 03- 01","1,343.48","1,347.48","1,372.80","1,322.92","","-0.22%"
"2022- 02- 01","1,346.41","1,353.42","1,377.85","1,332.33","","-0.50%"
"2022- 01- 01","1,353.16","1,351.21","1,366.17","1,339.27","","0.20%"
"2021- 12- 01","1,350.47","1,341.05","1,353.88","1,322.93","","0.73%"
"2021- 11- 01","1,340.72","1,357.73","1,375.78","1,328.37","","-1.26%"
"2021- 10- 01","1,357.80","1,372.20","1,388.26","1,350.31","","-1.00%"
"2021- 09- 01","1,371.46","1,368.60","1,396.94","1,363.15","","0.24%"
"2021- 08- 01","1,368.11","1,366.59","1,388.42","1,343.72","","0.10%"
"2021- 07- 01","1,366.72","1,340.53","1,371.23","1,337.27","","1.98%"
"2021- 06- 01","1,340.18","1,354.85","1,366.59","1,338.18","","-0.93%"
"2021- 05- 01","1,352.79","1,344.77","1,386.10","1,341.95","","0.76%"
"2021- 04- 01","1,342.60","1,323.10","1,351.38","1,319.88","","1.56%"
"2021- 03- 01","1,321.94","1,358.76","1,366.22","1,321.03","","-2.58%"
"2021- 02- 01","1,356.98","1,357.78","1,370.07","1,328.59","","0.04%"
"2021- 01- 01","1,356.37","1,326.31","1,359.05","1,317.97","","2.41%"
"2020- 12- 01","1,324.46","1,324.02","1,356.90","1,310.24","","0.10%"
"2020- 11- 01","1,323.20","1,325.06","1,337.24","1,307.98","","-0.04%"
"2020- 10- 01","1,323.67","1,365.09","1,371.13","1,316.66","","-2.97%"
"2020- 09- 01","1,364.21","1,418.15","1,423.44","1,358.32","","-3.79%"
"2020- 08- 01","1,417.93","1,407.35","1,421.15","1,389.08","","0.87%"
"2020- 07- 01","1,405.69","1,347.27","1,417.46","1,345.12","","4.36%"
"2020- 06- 01","1,346.91","1,366.64","1,382.19","1,342.80","","-1.45%"
"2020- 05- 01","1,366.71","1,330.11","1,378.94","1,316.55","","2.85%"
"2020- 04- 01","1,328.78","1,344.45","1,360.63","1,306.76","","-1.11%"
"2020- 03- 01","1,343.66","1,320.71","1,409.90","1,312.22","","1.54%"
"2020- 02- 01","1,323.22","1,326.68","1,339.69","1,278.06","","-0.18%"
"2020- 01- 01","1,325.58","1,295.06","1,328.94","1,281.29","","2.46%"
"2019- 12- 01","1,293.71","1,301.53","1,327.57","1,282.75","","-0.53%"
"2019- 11- 01","1,300.54","1,305.05","1,306.51","1,272.71","","-0.24%"
"2019- 10- 01","1,303.70","1,307.01","1,323.04","1,289.29","","-0.15%"
"2019- 09- 01","1,305.68","1,330.17","1,335.34","1,292.39","","-1.76%"
